Literal,Node_ID,Position,Feature
x181,6,"(0, 6)",E
x182,6,"(0, 6)",F
x183,6,"(0, 6)",G
x184,6,"(0, 6)",H
x185,6,"(0, 6)",I
x186,6,"(0, 6)",J
x187,6,"(0, 6)",K
x188,6,"(0, 6)",L
x189,6,"(0, 6)",M
x190,6,"(0, 6)",N
x191,6,"(0, 6)",P
x192,6,"(0, 6)",Q
x193,6,"(0, 6)",R
x194,6,"(0, 6)",S
x195,6,"(0, 6)",T
x196,6,"(0, 6)",U
x197,6,"(0, 6)",V
x198,6,"(0, 6)",W
x199,6,"(0, 6)",Y
x200,6,"(0, 6)",Z
x201,6,"(0, 6)",Connected
x202,6,"(0, 6)",Not Connected
x203,7,"(0, 7)",X
x204,7,"(0, 7)",O
x205,7,"(0, 7)", 
x206,7,"(0, 7)",A
x207,7,"(0, 7)",B
x208,7,"(0, 7)",C
x209,7,"(0, 7)",D
x210,7,"(0, 7)",E
x211,7,"(0, 7)",F
x212,7,"(0, 7)",G
x213,7,"(0, 7)",H
x214,7,"(0, 7)",I
x215,7,"(0, 7)",J
x216,7,"(0, 7)",K
x217,7,"(0, 7)",L
x218,7,"(0, 7)",M
x219,7,"(0, 7)",N
x220,7,"(0, 7)",P
x221,7,"(0, 7)",Q
x222,7,"(0, 7)",R
x223,7,"(0, 7)",S
x224,7,"(0, 7)",T
x225,7,"(0, 7)",U
x226,7,"(0, 7)",V
x227,7,"(0, 7)",W
x228,7,"(0, 7)",Y
x229,7,"(0, 7)",Z
x230,7,"(0, 7)",Connected
x231,7,"(0, 7)",Not Connected
x232,8,"(0, 8)",X
x233,8,"(0, 8)",O
x234,8,"(0, 8)", 
x235,8,"(0, 8)",A
x236,8,"(0, 8)",B
x237,8,"(0, 8)",C
x238,8,"(0, 8)",D
x239,8,"(0, 8)",E
x240,8,"(0, 8)",F
x241,8,"(0, 8)",G
x242,8,"(0, 8)",H
x243,8,"(0, 8)",I
x244,8,"(0, 8)",J
x245,8,"(0, 8)",K
x246,8,"(0, 8)",L
x247,8,"(0, 8)",M
x248,8,"(0, 8)",N
x249,8,"(0, 8)",P
x250,8,"(0, 8)",Q
x251,8,"(0, 8)",R
x252,8,"(0, 8)",S
x253,8,"(0, 8)",T
x254,8,"(0, 8)",U
x255,8,"(0, 8)",V
x256,8,"(0, 8)",W
x257,8,"(0, 8)",Y
x258,8,"(0, 8)",Z
x259,8,"(0, 8)",Connected
x260,8,"(0, 8)",Not Connected
x261,9,"(1, 0)",X
x262,9,"(1, 0)",O
x263,9,"(1, 0)", 
x264,9,"(1, 0)",A
x265,9,"(1, 0)",B
x266,9,"(1, 0)",C
x267,9,"(1, 0)",D
x268,9,"(1, 0)",E
x269,9,"(1, 0)",F
x270,9,"(1, 0)",G
x271,9,"(1, 0)",H
x272,9,"(1, 0)",I
x273,9,"(1, 0)",J
x274,9,"(1, 0)",K
x275,9,"(1, 0)",L
x276,9,"(1, 0)",M
x277,9,"(1, 0)",N
x278,9,"(1, 0)",P
x279,9,"(1, 0)",Q
x280,9,"(1, 0)",R
x281,9,"(1, 0)",S
x282,9,"(1, 0)",T
x283,9,"(1, 0)",U
x284,9,"(1, 0)",V
x285,9,"(1, 0)",W
x286,9,"(1, 0)",Y
x287,9,"(1, 0)",Z
x288,9,"(1, 0)",Connected
x289,9,"(1, 0)",Not Connected
x290,10,"(1, 1)",X
x291,10,"(1, 1)",O
x292,10,"(1, 1)", 
x293,10,"(1, 1)",A
x294,10,"(1, 1)",B
x295,10,"(1, 1)",C
x296,10,"(1, 1)",D
x297,10,"(1, 1)",E
x298,10,"(1, 1)",F
x299,10,"(1, 1)",G
x300,10,"(1, 1)",H
x301,10,"(1, 1)",I
x302,10,"(1, 1)",J
x303,10,"(1, 1)",K
x304,10,"(1, 1)",L
x305,10,"(1, 1)",M
x306,10,"(1, 1)",N
x307,10,"(1, 1)",P
x308,10,"(1, 1)",Q
x309,10,"(1, 1)",R
x310,10,"(1, 1)",S
x311,10,"(1, 1)",T
x312,10,"(1, 1)",U
x313,10,"(1, 1)",V
x314,10,"(1, 1)",W
x315,10,"(1, 1)",Y
x316,10,"(1, 1)",Z
x317,10,"(1, 1)",Connected
x318,10,"(1, 1)",Not Connected
x319,11,"(1, 2)",X
x320,11,"(1, 2)",O
x321,11,"(1, 2)", 
x322,11,"(1, 2)",A
x323,11,"(1, 2)",B
x324,11,"(1, 2)",C
x325,11,"(1, 2)",D
x326,11,"(1, 2)",E
x327,11,"(1, 2)",F
x328,11,"(1, 2)",G
x329,11,"(1, 2)",H
x330,11,"(1, 2)",I
x331,11,"(1, 2)",J
x332,11,"(1, 2)",K
x333,11,"(1, 2)",L
x334,11,"(1, 2)",M
x335,11,"(1, 2)",N
x336,11,"(1, 2)",P
x337,11,"(1, 2)",Q
x338,11,"(1, 2)",R
x339,11,"(1, 2)",S
x340,11,"(1, 2)",T
x341,11,"(1, 2)",U
x342,11,"(1, 2)",V
x343,11,"(1, 2)",W
x344,11,"(1, 2)",Y
x345,11,"(1, 2)",Z
x346,11,"(1, 2)",Connected
x347,11,"(1, 2)",Not Connected
x348,12,"(1, 3)",X
x349,12,"(1, 3)",O
x350,12,"(1, 3)", 
x351,12,"(1, 3)",A
x352,12,"(1, 3)",B
x353,12,"(1, 3)",C
x354,12,"(1, 3)",D
x355,12,"(1, 3)",E
x356,12,"(1, 3)",F
x357,12,"(1, 3)",G
x358,12,"(1, 3)",H
x359,12,"(1, 3)",I
x360,12,"(1, 3)",J
x361,12,"(1, 3)",K
x362,12,"(1, 3)",L
x363,12,"(1, 3)",M
x364,12,"(1, 3)",N
x365,12,"(1, 3)",P
x366,12,"(1, 3)",Q
x367,12,"(1, 3)",R
x368,12,"(1, 3)",S
x369,12,"(1, 3)",T
x370,12,"(1, 3)",U
x371,12,"(1, 3)",V
x372,12,"(1, 3)",W
x373,12,"(1, 3)",Y
x374,12,"(1, 3)",Z
x375,12,"(1, 3)",Connected
x376,12,"(1, 3)",Not Connected
x377,13,"(1, 4)",X
x378,13,"(1, 4)",O
x379,13,"(1, 4)", 
x380,13,"(1, 4)",A
x381,13,"(1, 4)",B
x382,13,"(1, 4)",C
x383,13,"(1, 4)",D
x384,13,"(1, 4)",E
x385,13,"(1, 4)",F
x386,13,"(1, 4)",G
x387,13,"(1, 4)",H
x388,13,"(1, 4)",I
x389,13,"(1, 4)",J
x390,13,"(1, 4)",K
x391,13,"(1, 4)",L
x392,13,"(1, 4)",M
x393,13,"(1, 4)",N
x394,13,"(1, 4)",P
x395,13,"(1, 4)",Q
x396,13,"(1, 4)",R
x397,13,"(1, 4)",S
x398,13,"(1, 4)",T
x399,13,"(1, 4)",U
x400,13,"(1, 4)",V
x401,13,"(1, 4)",W
x402,13,"(1, 4)",Y
x403,13,"(1, 4)",Z
x404,13,"(1, 4)",Connected
x405,13,"(1, 4)",Not Connected
x406,14,"(1, 5)",X
x407,14,"(1, 5)",O
x408,14,"(1, 5)", 
x409,14,"(1, 5)",A
x410,14,"(1, 5)",B
x411,14,"(1, 5)",C
x412,14,"(1, 5)",D
x413,14,"(1, 5)",E
x414,14,"(1, 5)",F
x415,14,"(1, 5)",G
x416,14,"(1, 5)",H
x417,14,"(1, 5)",I
x418,14,"(1, 5)",J
x419,14,"(1, 5)",K
x420,14,"(1, 5)",L
x421,14,"(1, 5)",M
x422,14,"(1, 5)",N
x423,14,"(1, 5)",P
x424,14,"(1, 5)",Q
x425,14,"(1, 5)",R
x426,14,"(1, 5)",S
x427,14,"(1, 5)",T
x428,14,"(1, 5)",U
x429,14,"(1, 5)",V
x430,14,"(1, 5)",W
x431,14,"(1, 5)",Y
x432,14,"(1, 5)",Z
x433,14,"(1, 5)",Connected
x434,14,"(1, 5)",Not Connected
x435,15,"(1, 6)",X
x436,15,"(1, 6)",O
x437,15,"(1, 6)", 
x438,15,"(1, 6)",A
x439,15,"(1, 6)",B
x440,15,"(1, 6)",C
x441,15,"(1, 6)",D
x442,15,"(1, 6)",E
x443,15,"(1, 6)",F
x444,15,"(1, 6)",G
x445,15,"(1, 6)",H
x446,15,"(1, 6)",I
x447,15,"(1, 6)",J
x448,15,"(1, 6)",K
x449,15,"(1, 6)",L
x450,15,"(1, 6)",M
x451,15,"(1, 6)",N
x452,15,"(1, 6)",P
x453,15,"(1, 6)",Q
x454,15,"(1, 6)",R
x455,15,"(1, 6)",S
x456,15,"(1, 6)",T
x457,15,"(1, 6)",U
x458,15,"(1, 6)",V
x459,15,"(1, 6)",W
x460,15,"(1, 6)",Y
x461,15,"(1, 6)",Z
x462,15,"(1, 6)",Connected
x463,15,"(1, 6)",Not Connected
x464,16,"(1, 7)",X
x465,16,"(1, 7)",O
x466,16,"(1, 7)", 
x467,16,"(1, 7)",A
x468,16,"(1, 7)",B
x469,16,"(1, 7)",C
x470,16,"(1, 7)",D
x471,16,"(1, 7)",E
x472,16,"(1, 7)",F
x473,16,"(1, 7)",G
x474,16,"(1, 7)",H
x475,16,"(1, 7)",I
x476,16,"(1, 7)",J
x477,16,"(1, 7)",K
x478,16,"(1, 7)",L
